address,is24qa_bezugsfrei_ab,is24qa_etage,is24qa_flaeche,is24qa_kaltmiete,is24qa_nebenkosten,is24qa_zi,lat,lng,url,zip_region_country
"Gotlandstraße 8,",sofort,6 von 6,"76,2 m²","1.752,60 €",,2,"52.55465516923751,",13.41149961681919,https://www.immobilienscout24.de/expose/107979831,"10439 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
"Birkbuschstraße 18,",ab sofort,3 von 6,87 m²,1.100 €,,3,"52.449678377242435,",13.32297841713723,https://www.immobilienscout24.de/expose/108172431,"12167 Steglitz, Steglitz (Steglitz)"
"Schwartzkopffstraße 7F,",01.02.2019,4 von 5,"118,06 m²","2.006,01 €",,4,"52.53464982720575,",13.380878811535963,https://www.immobilienscout24.de/expose/108707813,"10115 Berlin, Mitte (Mitte)"
"Gartenstraße 23,",1.7.2019,5 von 6,94 m²,1.650 €,,3,"52.53211163653367,",13.389446118963372,https://www.immobilienscout24.de/expose/108607125,"10115 Berlin, Mitte (Mitte)"
"Markgrafenstraße 13,",ab sofort,0 von 0,142 m²,1.400 €,,4,"52.45006832037566,",13.38369801373678,https://www.immobilienscout24.de/expose/107736932,"12105 Berlin, Mariendorf (Tempelhof)"
"Romain-Rollan-Str. 91,",15.12.2018,0 von 5,"74,6 m²",820 €,,3,"52.570440175,",13.43743775833535,https://www.immobilienscout24.de/expose/108209508,"13089 Berlin, Heinersdorf (Weißensee)"
,01.12.2018,1 von 4,"80,88 m²",1.200 €,,3,,,https://www.immobilienscout24.de/expose/108143239,10965 Berlin
"Michaelkirchstraße 15,",ab sofort,,70 m²,1.240 €,,2,"52.51052168623831,",13.422154793542173,https://www.immobilienscout24.de/expose/108713409,"10179 Berlin, Mitte (Mitte)"
,ab sofort,0 von 5,86 m²,824 €,,3,,,https://www.immobilienscout24.de/expose/108707964,10997 Berlin
"Rennbahnstraße 27,",01.01.2019,3 von 4,101 m²,1.313 €,,3,"52.560291405534265,",13.458686054177758,https://www.immobilienscout24.de/expose/82534112,"13086 Berlin, Weißensee (Weißensee)"
,15.11.2018,1 von 5,89 m²,1.270 €,,3,,,https://www.immobilienscout24.de/expose/107996506,10405 Berlin
"Kaiserdamm 28,",01.11.2018,2 von 5,"266,13 m²",2.880 €,,"5,5","52.510256445323066,",13.280439416808463,https://www.immobilienscout24.de/expose/107408895,"14057 Berlin, Charlottenburg (Charlottenburg)"
"Chausseestraße 41A,",01.02.2019,1 von 5,"144,55 m²","2.203,95 €",,4,"52.53436992498762,",13.380109480707167,https://www.immobilienscout24.de/expose/108707782,"10115 Berlin, Mitte (Mitte)"
"Ehrlichstraße 33,",01.01.2019,2 von 4,"61,17 m²",700 €,,2,"52.480699820968546,",13.519145205218527,https://www.immobilienscout24.de/expose/108705085,"10318 Berlin, Karlshorst (Lichtenberg)"
"Ehrlichstraße 37,",01.01.2019,1 von 4,"80,09 m²",920 €,,3,"52.48083769486565,",13.518797025927487,https://www.immobilienscout24.de/expose/108705149,"10318 Berlin, Karlshorst (Lichtenberg)"
"Hultschiner Damm 46,",01.01.2019,1 von 4,75 m²,822 €,,3,"52.47882938188644,",13.601538405689336,https://www.immobilienscout24.de/expose/106809545,"12623 Berlin, Mahlsdorf (Hellersdorf)"
"Klaustaler 28,",ab sofort,1 von 6,"77,91 m²",1.192 €,,3,"52.52380119354204,",13.31354887228063,https://www.immobilienscout24.de/expose/108704917,"10589 Berlin, Charlottenburg (Charlottenburg)"
,01.02.2019,1 von 2,125 m²,2.500 €,,"3,5",,,https://www.immobilienscout24.de/expose/97649080,14169 Berlin
"Albiger Weg 2,",01.12.2018,0 von 2,102 m²,1.500 €,,3,"52.42799278467514,",13.20685583842928,https://www.immobilienscout24.de/expose/108164049,"14129 Berlin, Nikolassee (Zehlendorf)"
"Brodauer Str. 44,",01.02.2019,0 von 3,"55,31 m²",450 €,,3,"52.511135830645244,",13.586506333522454,https://www.immobilienscout24.de/expose/56506280,"12621 Berlin, Kaulsdorf (Hellersdorf)"
,16.12.2018,1 von 3,68 m²,750 €,,2,,,https://www.immobilienscout24.de/expose/83490461,14165 Berlin
,01.01.2019,2 von 4,85 m²,1.250 €,,2,,,https://www.immobilienscout24.de/expose/107827320,10965 Berlin
"Oldenburgerstraße 43,",ab sofort,2 von 5,85 m²,1.190 €,,"2,5","52.529093736253415,",13.335368262269188,https://www.immobilienscout24.de/expose/108468876,"10551 Berlin, Tiergarten (Tiergarten)"
"Heinrich-Böll-Straße 3B,",01.01.2019,2 von 4,"102,18 m²","1.315,15 €",,4,"52.587835801349776,",13.403328443414498,https://www.immobilienscout24.de/expose/108705820,"13156 Berlin, Niederschönhausen (Pankow)"
"Hindenburgdamm 57,",Ab sofort,3 von 3,48 m²,399 €,,2,"52.44611441781477,",13.31575590561615,https://www.immobilienscout24.de/expose/108302792,"12203 Berlin, Lichterfelde (Steglitz)"
"Pfarrer-Theile-Straße 97,",Deutschland (DEU),3 von 4,"55,77 m²",680 €,,2,"52.526574967830946,",13.146858785232519,https://www.immobilienscout24.de/expose/108164596,"13591 Berlin, Staaken (Spandau)"
"Corneliusstraße 3,",,2 von 4,"137,06 m²",1.890 €,,3,"52.50674018259256,",13.3506294102537,https://www.immobilienscout24.de/expose/92741737,"10787 Berlin, Tiergarten (Tiergarten)"
"Kurfürstenstr 22,",sofort,2 von 2,110 m²,935 €,,3,"52.42800527133057,",13.334714737492948,https://www.immobilienscout24.de/expose/69837285,"12249 Berlin, Lankwitz (Steglitz)"
,January 6th 2019,4 von 5,57 m²,1.070 €,,2,,,https://www.immobilienscout24.de/expose/108470126,10437 Berlin
,1. Januar 2019,0 von 5,171 m²,2.950 €,,5,,,https://www.immobilienscout24.de/expose/108045818,10629 Charlottenburg
"An der Kappe 135,",01.03.2019,0 von 3,"59,45 m²",579 €,,"1,5","52.541064582286424,",13.177638774172438,https://www.immobilienscout24.de/expose/108585690,"13583 Berlin, Spandau (Spandau)"
"Schwartzkopffstraße 7 F,",01.02.2019,4 von 5,"86,95 m²","1.565,42 €",,3,"52.53464982720575,",13.380878811535963,https://www.immobilienscout24.de/expose/108707765,"10115 Berlin, Mitte (Mitte)"
"Steinstr. 2,",ab sofort,1 von 3,65 m²,685 €,,3,"52.39544983174887,",13.397408669337922,https://www.immobilienscout24.de/expose/108693506,"12307 Berlin, Lichtenrade (Tempelhof)"
"Fidcinstraße 9,",ab sofort,1 von 5,70 m²,780 €,,2,"52.48673413032639,",13.390094960336778,https://www.immobilienscout24.de/expose/108695198,"10965 Berlin, Kreuzberg (Kreuzberg)"
,ab sofort,1 von 3,110 m²,1.195 €,,"2,5",,,https://www.immobilienscout24.de/expose/105036352,13357 Berlin Wedding
"Rudolf-Majut-Straße 5,",01.08.2018,1 von 4,40 m²,450 €,,2,"52.58307429702779,",13.400917622209702,https://www.immobilienscout24.de/expose/106113812,"13156 Berlin, Niederschönhausen (Pankow)"
"Börnestrasse 28,",ab sofort,1 von 3,62 m²,850 €,,2,"52.54992733591317,",13.4488053182254,https://www.immobilienscout24.de/expose/107647144,"13086 Berlin, Weißensee (Weißensee)"
"Michaelkirchstraße 16,",sofort,1 von 6,"95,07 m²",1.755 €,,4,"52.51103630764548,",13.422358196386206,https://www.immobilienscout24.de/expose/99426329,"10179 Berlin Berlin-Mitte, Mitte (Mitte)"
"Aschaffenburger Str. 6 a,",19.11.2018,4 von 6,50 m²,850 €,,2,"52.49140503437531,",13.335978232130307,https://www.immobilienscout24.de/expose/70402610,"10779 Berlin, Wilmersdorf (Wilmersdorf)"
,ab sofort,1 von 2,"67,98 m²",580 €,,2,,,https://www.immobilienscout24.de/expose/108576043,12207 Berlin
,ab sofort,2 von 4,53 m²,790 €,,2,,,https://www.immobilienscout24.de/expose/108065036,14167 Berlin
"Taylorstraße 13 c,",sofort,0 von 4,140 m²,2.200 €,,170,"52.455712755157194,",13.267669342599845,https://www.immobilienscout24.de/expose/108695811,"14195 Berlin, Dahlem (Zehlendorf)"
"Tiniusstr. 29b,",01.01.2019,2 von 4,"84,86 m²",1.145 €,,3,"52.57074302684693,",13.437056232069406,https://www.immobilienscout24.de/expose/106693420,"13089 Berlin, Heinersdorf (Weißensee)"
"Pfarrhufenanger 33,",01.01.2019,2 von 3,"69,23 m²",730 €,,2,"52.51749828785048,",13.622957183468236,https://www.immobilienscout24.de/expose/94207478,"12623 Berlin Mahlsdorf, Mahlsdorf (Hellersdorf)"
"Schröderstraße 12,",15. Februar 2019,2 von 5,73 m²,1.300 €,,2,"52.530758948481,",13.393116965156304,https://www.immobilienscout24.de/expose/108160585,"10115 Berlin, Mitte (Mitte)"
"Junker-Jörg-Straße 25,",sofort,3 von 3,"68,24 m²",600 €,,2,"52.4880156623641,",13.522509091394195,https://www.immobilienscout24.de/expose/108291555,"10318 Berlin, Karlshorst (Lichtenberg)"
"Kopernikusstraße 18a,",15.01.2019,4 von 5,84 m²,1.390 €,,3,"52.51016620530798,",13.455776942308171,https://www.immobilienscout24.de/expose/108696082,"10245 Berlin, Friedrichshain (Friedrichshain)"
"Nahariyastraße 43,",ab sofort,4 von 5,66 m²,"484,52 €",,2,"52.39415600287077,",13.419129932588573,https://www.immobilienscout24.de/expose/108696673,"12309 Berlin-Lichtenrade, Lichtenrade (Tempelhof)"
"Sonntagstraße 11,",,1 von 4,42 m²,680 €,,1,"52.50609395386177,",13.466088781095388,https://www.immobilienscout24.de/expose/108162379,"10245 Berlin, Friedrichshain (Friedrichshain)"
,15.12.2018,3 von 5,70 m²,1.380 €,,2,,,https://www.immobilienscout24.de/expose/62351412,10115 Berlin
,11.12.2018,0 von 3,"52,5 m²",805 €,,3,,,https://www.immobilienscout24.de/expose/108703785,14199 Berlin
"michaelkirchstraße 100,",sofort / nach Absprache,4 von 1,66 m²,960 €,,2,"52.50967527392317,",13.421088528245734,https://www.immobilienscout24.de/expose/108489312,"10179 berlin, Mitte (Mitte)"
"Richard-Sorge-Strasse 68,",01.01.2019,1 von 5,"59,78 m²",885 €,,2,"52.52146898851978,",13.446057526954576,https://www.immobilienscout24.de/expose/108256023,"10249 Berlin, Friedrichshain (Friedrichshain)"
"Schönstraße 11a,",20.02.2019,1 von 4,65 m²,900 €,,2,"52.55366003179027,",13.451740166838817,https://www.immobilienscout24.de/expose/108021233,"13086 Berlin, Weißensee (Weißensee)"
